Section 1 MH_78_0_V2																																																																																																												
	2.29E-02	-5.82E-03	b			2.31E-02	-7.82E-03	b			1.45E-02	-9.06E-03	b		7.83E-03	-1.05E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	1.41E-02	1.75E-03	a			1.43E-02	1.65E-03	a			7.75E-03	4.01E-03	a		5.76E-03	8.91E-03	a																																																																																											
	3.56E-02	-8.12E-03	b			3.38E-02	-1.00E-02	b			2.02E-02	-1.50E-02	b		1.23E-02	-1.48E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	2.58E-02	2.64E-03	a			2.56E-02	2.49E-03	a			1.34E-02	8.19E-03	a		1.15E-02	1.61E-02	a																																																																																											
	4.83E-02	-1.07E-02	b			4.48E-02	-1.24E-02	b			2.54E-02	-2.06E-02	b		1.65E-02	-1.89E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	4.11E-02	3.85E-03	a			4.03E-02	3.66E-03	a			2.07E-02	1.40E-02	a		1.98E-02	2.63E-02	a																																																																																											
	6.09E-02	-1.34E-02	b			5.59E-02	-1.50E-02	b			3.03E-02	-2.59E-02	b		2.06E-02	-2.30E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	5.99E-02	5.41E-03	a			5.86E-02	5.22E-03	a			2.99E-02	2.15E-02	a		3.19E-02	4.19E-02	a																																																																																											
	7.32E-02	-1.60E-02	b			6.69E-02	-1.79E-02	b			3.50E-02	-3.08E-02	b		2.47E-02	-2.73E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	8.18E-02	8.28E-03	a			8.02E-02	8.34E-03	a			4.15E-02	3.09E-02	a		5.04E-02	6.58E-02	a																																																																																											
	8.44E-02	-1.92E-02	b			7.74E-02	-2.19E-02	b			3.94E-02	-3.54E-02	b		2.92E-02	-3.20E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	1.07E-01	1.17E-02	a			1.05E-01	1.22E-02	a			5.62E-02	4.27E-02	a		7.80E-02	9.85E-02	a																																																																																											
	9.37E-02	-2.20E-02	b			8.65E-02	-2.58E-02	b			4.38E-02	-3.98E-02	b		3.39E-02	-3.67E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	1.36E-01	2.81E-02	a			1.34E-01	2.98E-02	a			7.56E-02	5.79E-02	a		1.12E-01	1.35E-01	a																																																																																											
	1.01E-01	-3.20E-02	b			9.36E-02	-3.85E-02	b			4.82E-02	-4.43E-02	b		3.81E-02	-4.06E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	1.68E-01	4.91E-02	a			1.66E-01	5.16E-02	a			1.01E-01	7.79E-02	a		1.48E-01	1.73E-01	a																																																																																											
	1.05E-01	-4.08E-02	b			9.87E-02	-4.96E-02	b			5.29E-02	-4.89E-02	b		4.15E-02	-4.37E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	2.04E-01	7.50E-02	a			2.02E-01	7.81E-02	a			1.34E-01	1.04E-01	a		1.85E-01	2.11E-01	a																																																																																											
	1.08E-01	-4.93E-02	b			1.02E-01	-6.02E-02	b			5.74E-02	-5.36E-02	b		4.41E-02	-4.60E-02	b																																																																																											
	0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c			0.00E+00	0.00E+00	c		0.00E+00	0.00E+00	c																																																																																											
	2.43E-01	1.05E-01	a			2.41E-01	1.09E-01	a			1.73E-01	1.38E-01	a		2.22E-01	2.48E-01	a																																																																																											
